LABEL,TEXT,URL,EMAIL,PHONE,label,message,cleaned_message
0,What's up? Do you want me to come online? If you are free we can talk sometime�,No,No,No,,,What's up? want come online? free talk sometime�
0,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",No,No,No,,,House-Maid murderer coz man murdered 26th January
0,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,No,No,No,,,Oh Lk tt den take e one tt ends cine lor Dun wan yogasana oso
1,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",No,No,yes,,,New Offer! Save upto 40\% electricity bill Power Saver(GOVT LAB TESTED) Rs 1050/-(free home delivery) 3 Yr Guarantee Call 98919438239891943780
0,Ü neva tell me how i noe... I'm not at home in da aft wat...,No,No,No,,,Ü neva tell noe I'm home da aft wat
0,Ok lor�whats up�,No,No,No,,,Ok lor�whats up�
0,Ok..let me knw,No,No,No,,,Oklet knw
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow�.That is what matters�,No,No,No,,,Meeting u work Tel shall work tomorrow�That matters�
1,Overcome programming challenges for multicore and learn the techniques to scale reliability. Attend Intel session at 3.45 PM at Microsoft Community TechDays,No,No,No,,,Overcome programming challenges multicore learn techniques scale reliability Attend Intel session 345 PM Microsoft Community TechDays
0,"Sorry, have urgent work..",No,No,No,,,Sorry urgent work
0,Good Morning plz call me sir..I have an urgent work..,No,No,No,,,Good Morning plz call sirI urgent work
1,"	5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",No,No,yes,,,5 Free Top Polyphonic Tones call 087018728737 National Rate Get toppoly tune sent every week text SUBPOLY 81618 £3 per pole UnSub 08718727870
0,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;,No,No,No,,,still working time also tried adding zeros savings checking &lt#&gt
0,how's things? Just a quick question.,No,No,No,,,how's things? quick question
1,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3",No,No,yes,,,Noida Commercial Wave Sec-18 Silver @ 11500/- PSF Gold @ 12500/- PSF Logix Sec-124 @ 8200/- PSF Best Deal Call 9711131802 /3
1,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Send HMV to 86688 More info:www.100percent-real.com,yes,No,yes,,,HMV BONUS SPECIAL 500 pounds genuine HMV vouchers answer 4 easy questions Send HMV 86688 info:www100percent-realcom
0,My computer just fried the only essential part we don't keep spares of because my idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,No,No,No,,,computer fried essential part keep spares idiot roommates looovvve leaving thing running full &lt#&gt /7
0,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema.,No,No,No,,,Ok problem get taxi C ing tomorrow tuesday tuesday think r going cinema
0,Are you this much buzy�.I don�t think so,No,No,No,,,much buzy�I don�t think
